place_id,place_name,lat,lng,author_name,birth_year,death_year,work_title,confidence,extraction_method,before_text,sentence,after_text,work_wiki_url,author_wiki_url
178,上野,35.709,139.7753,夏目漱石,1867,1916,こころ,0.7,ginza_nlp,ただ一つ私の記憶に残っている事がある。,或る時花時分に私は先生といっしょに上野へ行った。,そうしてそこで美しい一対の男女を見た。,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%9B%AE%E6%BC%B1%E7%9F%B3
192,上野,35.709,139.7753,夏目漱石,1867,1916,こころ,0.65,regex_有名地名,ただ一つ私の記憶に残っている事がある,或る時花時分に私は先生といっしょに上野へ行った,そうしてそこで美しい一対の男女を見た,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%9B%AE%E6%BC%B1%E7%9F%B3
490,上野,35.709,139.7753,夏目漱石,1867,1916,こころ,0.7,ginza_nlp,ただ一つ私の記憶に残っている事がある。,或る時花時分に私は先生といっしょに上野へ行った。,そうしてそこで美しい一対の男女を見た。,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%9B%AE%E6%BC%B1%E7%9F%B3
504,上野,35.709,139.7753,夏目漱石,1867,1916,こころ,0.65,regex_有名地名,ただ一つ私の記憶に残っている事がある,或る時花時分に私は先生といっしょに上野へ行った,そうしてそこで美しい一対の男女を見た,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%9B%AE%E6%BC%B1%E7%9F%B3
802,上野,35.709,139.7753,夏目漱石,1867,1916,こころ,0.7,ginza_nlp,ただ一つ私の記憶に残っている事がある。,或る時花時分に私は先生といっしょに上野へ行った。,そうしてそこで美しい一対の男女を見た。,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%9B%AE%E6%BC%B1%E7%9F%B3
816,上野,35.709,139.7753,夏目漱石,1867,1916,こころ,0.65,regex_有名地名,ただ一つ私の記憶に残っている事がある,或る時花時分に私は先生といっしょに上野へ行った,そうしてそこで美しい一対の男女を見た,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%9B%AE%E6%BC%B1%E7%9F%B3
1114,上野,35.709,139.7753,夏目漱石,1867,1916,こころ,0.9,ginza_nlp,ただ一つ私の記憶に残っている事がある。,或る時花時分に私は先生といっしょに上野へ行った。,そうしてそこで美しい一対の男女を見た。,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%9B%AE%E6%BC%B1%E7%9F%B3
1128,上野,35.709,139.7753,夏目漱石,1867,1916,こころ,0.9,regex_有名地名,ただ一つ私の記憶に残っている事がある,或る時花時分に私は先生といっしょに上野へ行った,そうしてそこで美しい一対の男女を見た,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%9B%AE%E6%BC%B1%E7%9F%B3
1426,上野,35.709,139.7753,夏目漱石,1867,1916,こころ,0.7,ginza_nlp,ただ一つ私の記憶に残っている事がある。,或る時花時分に私は先生といっしょに上野へ行った。,そうしてそこで美しい一対の男女を見た。,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%9B%AE%E6%BC%B1%E7%9F%B3
1440,上野,35.709,139.7753,夏目漱石,1867,1916,こころ,0.65,regex_有名地名,ただ一つ私の記憶に残っている事がある,或る時花時分に私は先生といっしょに上野へ行った,そうしてそこで美しい一対の男女を見た,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%9B%AE%E6%BC%B1%E7%9F%B3
