place_id,work_id,place_name,lat,lng,before_text,sentence,after_text,aozora_url,confidence,extraction_method,created_at
1,1,"松山",33.8416,132.7658,,,,,0.9,manual,"2025-06-07 17:02:38"
2,1,"麹町",35.6816,139.7419,"おれも何だかうちが持てるような気がして、うん置いてやると返事だけはしておいた。","ところがこの女はなかなか想像の強い女で、あなたはどこがお好き、麹町ですか麻布ですか、お庭へぶらんこをおこしらえ遊ばせ、西洋間は一つでたくさんですなどと勝手な計画を独りで並べていた。","その時は家なんか欲しくも何ともなかった。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.9,ginza_nlp,"2025-06-07 17:03:40"
3,1,"麻布",35.6518,139.7394,"おれも何だかうちが持てるような気がして、うん置いてやると返事だけはしておいた。","ところがこの女はなかなか想像の強い女で、あなたはどこがお好き、麹町ですか麻布ですか、お庭へぶらんこをおこしらえ遊ばせ、西洋間は一つでたくさんですなどと勝手な計画を独りで並べていた。","その時は家なんか欲しくも何ともなかった。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.9,ginza_nlp,"2025-06-07 17:03:40"
4,1,"東京",35.6762,139.6503,"兄は何とか会社の九州の支店に口があって行かなければならん。","おれは東京でまだ学問をしなければならない。","兄は家を売って財産を片付けて任地へ出立すると云い出した。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.95,ginza_nlp,"2025-06-07 17:03:40"
5,1,"神田",35.6914,139.7706,"この方は大分金になったようだが、詳しい事は一向知らぬ。","おれは一ヶ月以前から、しばらく前途の方向のつくまで神田の小川町へ下宿していた。","清は十何年居たうちが人手に渡るのを大いに残念がったが、自分のものでないから、仕様がなかった。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.7,ginza_nlp,"2025-06-07 17:03:40"
6,1,"小川町",35.6914,139.7706,"この方は大分金になったようだが、詳しい事は一向知らぬ。","おれは一ヶ月以前から、しばらく前途の方向のつくまで神田の小川町へ下宿していた。","清は十何年居たうちが人手に渡るのを大いに残念がったが、自分のものでないから、仕様がなかった。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.9,ginza_nlp,"2025-06-07 17:03:40"
7,1,"新橋",35.6657,139.7588,"兄はそれから五十円出してこれをついでに清に渡してくれと云ったから、異議なく引き受けた。","二日立って新橋の停車場で分れたぎり","兄にはその後一遍も逢わない。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.75,ginza_nlp,"2025-06-07 17:03:40"
8,1,"鎌倉",35.3192,139.5466,"しかしこうなると四畳半も引き払わなければならん。","生れてから東京以外に踏み出したのは、同級生と一所に鎌倉へ遠足した時ばかりである。","今度は鎌倉どころではない。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.9,ginza_nlp,"2025-06-07 17:03:40"
9,1,"麹町辺",35.6816,139.7419,"清はおれを前へ置いて、いろいろおれの自慢を甥に聞かせた。","今に学校を卒業すると麹町辺へ屋敷を買って役所へ通うのだなどと吹聴した事もある。","独りで極めて一人で喋舌るから、こっちは困まって顔を赤くした。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.9,ginza_nlp,"2025-06-07 17:03:40"
10,1,"箱根",35.2019,139.0235,"「おれの行く田舎には笹飴はなさそうだ」と云って聞かしたら「そんなら、どっちの見当です」と聞き返した。","「西の方だよ」と云うと「箱根のさきですか手前ですか」と問う。","随分持てあました。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.75,ginza_nlp,"2025-06-07 17:03:40"
11,1,"江戸",35.6762,139.6503,"私もこれで江戸っ子ですと云った。","こんなのが江戸っ子なら江戸には生れたくないもんだと心中に考えた。","そのほか一人一人についてこんな事を書けばいくらでもある。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.75,ginza_nlp,"2025-06-07 17:03:40"
12,1,"通町",,,"とうとう明日から引き移る事にした。","帰りに山嵐は通町で氷水を一杯奢った。","学校で逢った時はやに横風な失敬な奴だと思ったが、こんなにいろいろ世話をしてくれるところを見ると、わるい男でもなさそうだ。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.9,ginza_nlp,"2025-06-07 17:03:40"
13,1,"丸の内",35.6673,139.7595,"臆病な男でもないが、惜しい事に胆力が欠けている。","先生と大きな声をされると、腹の減った時に丸の内で午砲を聞いたような気がする。","最初の一時間は何だかいい加減にやってしまった。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.7,ginza_nlp,"2025-06-07 17:03:40"
14,1,"午砲",,,"臆病な男でもないが、惜しい事に胆力が欠けている。","先生と大きな声をされると、腹の減った時に丸の内で午砲を聞いたような気がする。","最初の一時間は何だかいい加減にやってしまった。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.7,ginza_nlp,"2025-06-07 17:03:40"
15,1,"大町",,,"そのうち学校もいやになった。","ある日の晩大町と云う所を散歩していたら郵便局の隣りに蕎麦とかいて、下に東京と注を加えた看板があった。","おれは蕎麦が大好きである。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.9,ginza_nlp,"2025-06-07 17:03:40"
16,1,"住田",,,"何だか訳が分らない。","それから三日ばかりは無事であったが、四日目の晩に住田と云う所へ行って団子を食った。","この住田と云う所は温泉のある町で城下から汽車だと十分ばかり、歩いて三十分で行かれる、料理屋も温泉宿も、公園もある上に遊廓がある。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.7,ginza_nlp,"2025-06-07 17:03:40"
17,1,"古町",,,"赤手拭は宿へ忘れて来たのが残念だが今日は先方で借りるとしよう。","それからかなりゆるりと、出たりはいったりして、ようやく日暮方になったから、汽車へ乗って古町の停車場まで来て下りた。","学校まではこれから四丁だ。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.85,ginza_nlp,"2025-06-07 17:03:40"
18,1,"越後",37.9022,139.0237,"思わなかったが、こうして、一人で遠国へ来てみると、始めてあの親切がわかる。","越後の笹飴が食いたければ、わざわざ越後まで買いに行って食わしてやっても、食わせるだけの価値は充分ある。","清はおれの事を欲がなくって、真直な気性だと云って、ほめるが、ほめられるおれよりも、ほめる本人の方が立派な人間だ。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.75,ginza_nlp,"2025-06-07 17:03:40"
19,1,"東",35.6762,139.6503,"ランプはすでに消してあるから、暗くてどこに何が居るか判然と分らないが、人気のあるとないとは様子でも知れる。","長く東から西へ貫いた廊下には鼠一匹も隠れていない。","廊下のはずれから月がさして、遥か向うが際どく明るい。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.75,ginza_nlp,"2025-06-07 17:03:40"
20,1,"神楽坂",35.7017,139.7355,"あんまりないが、子供の時、小梅の釣堀で鮒を三匹釣った事がある。","それから神楽坂の毘沙門の縁日で八寸ばかりの鯉を針で引っかけて、しめたと思ったら、ぽちゃりと落としてしまったがこれは今考えても惜しいと云ったら、赤シャツは顋を前の方へ突き出してホホホホと笑った。","何もそう気取って笑わなくっても、よさそうな者だ。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.75,ginza_nlp,"2025-06-07 17:03:40"
21,1,"東京辺",35.6762,139.6503,"それから、学校をしまって、一応うちへ帰って、支度を整えて、停車場で赤シャツと野だを待ち合せて浜へ行った。","船頭は一人で、船は細長い東京辺では見た事もない恰好である。","さっきから船中見渡すが釣竿が一本も見えない。",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.75,ginza_nlp,"2025-06-07 17:03:40"
22,1,"山城",35.0116,135.7681,"実の熟する時分は起き抜けに背戸を出て落ちた奴を拾ってきて、学校で食う","菜園の西側が山城屋という質屋の庭続きで、この質屋に勘太郎という十三四の倅が居た","勘太郎は無論弱虫である",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.9,"regex_有名地名","2025-06-07 17:03:40"
23,1,"大分",33.2382,131.6126,"その晩母が山城屋に詫びに行ったついでに袷の片袖も取り返して来た","この外いたずらは大分やった","大工の兼公と肴屋の角をつれて、茂作の人参畠をあらした事がある",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.85,"regex_有名地名","2025-06-07 17:03:40"
24,1,"麻布",35.6518,139.7394,"おれも何だかうちが持てるような気がして、うん置いてやると返事だけはしておいた","ところがこの女はなかなか想像の強い女で、あなたはどこがお好き、麹町ですか麻布ですか、お庭へぶらんこをおこしらえ遊ばせ、西洋間は一つでたくさんですなどと勝手な計画を独りで並べていた","その時は家なんか欲しくも何ともなかった",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.9,"regex_有名地名","2025-06-07 17:03:40"
25,1,"小川町",35.6914,139.7706,"この方は大分金になったようだが、詳しい事は一向知らぬ","おれは一ヶ月以前から、しばらく前途の方向のつくまで神田の小川町へ下宿していた","清は十何年居たうちが人手に渡るのを大いに残念がったが、自分のものでないから、仕様がなかった",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,0.9,"regex_市区町村","2025-06-07 17:03:40"
